Ref,Val,Package,PosX,PosY,Rot,Side
"BR1","DB107S","DIOB_DB107S",88.000000,-94.000000,0.000000,top
"C1","470uF 35V","C_Elec_10x10.2",100.400000,-94.000000,0.000000,top
"C2","47uF","CP_EIA-6032-28_Kemet-C",118.000000,-97.500000,0.000000,top
"C3","100nF","C_1206_3216Metric",90.000000,-51.000000,0.000000,top
"D1","1N4148","D_SOD-123",99.150000,-65.000000,180.000000,top
"D2","D_Schottky","D_SMA",111.000000,-96.000000,270.000000,top
"D3","LED","LED_0805_2012Metric",82.000000,-43.000000,0.000000,top
"D4","1N4148","D_SOD-123",115.000000,-56.000000,90.000000,top
"D5","1N4148","D_SOD-123",115.000000,-44.000000,90.000000,top
"L1","33uH","L_12x12mm_H8mm",109.050000,-81.500000,0.000000,top
"Q1","BC847","SOT-23",111.000000,-55.000000,0.000000,top
"Q2","BC847","SOT-23",111.000000,-43.000000,0.000000,top
"R1","1K","R_0603_1608Metric",98.500000,-68.000000,0.000000,top
"R2","1K","R_0603_1608Metric",98.500000,-70.000000,0.000000,top
"R3","22K","R_0603_1608Metric",90.000000,-56.000000,0.000000,top
"R4","560","R_0603_1608Metric",82.000000,-45.000000,0.000000,top
"R5","1K","R_0603_1608Metric",111.175000,-47.000000,0.000000,top
"R6","1K","R_0603_1608Metric",111.175000,-59.000000,0.000000,top
"S1","TS-1187A-B-A-B","SW_TS-1187A-B-A-B",90.000000,-45.000000,0.000000,top
"U1","6N137","SSO-8_6.7x9.8mm_P2.54mm_Clearance8mm",109.240000,-69.310000,0.000000,top
"U2","LM2596S-5","TO-263-5_TabPin3",91.300000,-81.000000,180.000000,top
"U3","PIC16F18313-I/SN","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.514x3.2mm",90.000000,-67.000000,270.000000,top
